ID,Name,Description
120,Corporate Communications,Handles public relations and internal communications
108,Engineering & Maintenance,Responsible for building maintenance and facility operations
117,Environmental Services,Manages sustainability initiatives and environmental compliance
111,Events & Conferences,Handles meeting rooms and special events
107,Finance & Accounting,Handles financial operations and budget management
104,Food & Beverage,Manages restaurants and catering operations
102,Front Office,Handles guest check-in and front desk operations
113,Guest Relations,Manages guest feedback and customer service excellence
103,Housekeeping,Responsible for room cleaning and ensuring guest room quality standards
106,Human Resources,Manages recruitment and staff development
115,IT Department,Manages technology infrastructure and digital guest services
121,Learning & Development,Manages staff training programs and career development initiatives
114,Procurement,Handles purchasing and supplier relationships
116,Quality Assurance,Ensures service standards and continuous improvement
112,Revenue Management,Optimizes room pricing and distribution channels
119,Risk Management,Manages insurance and risk assessment
105,Sales & Marketing,Handles promotions and corporate sales
109,Security,Ensures guest safety and emergency response procedures
110,Spa & Wellness,Manages spa services and wellness programs
118,Transportation,Handles valet parking and guest transportation
