name,description
Corporate Communications,Handles public relations and internal communications
Engineering & Maintenance,Responsible for building maintenance and facility operations
Environmental Services,Manages sustainability initiatives and environmental compliance
Events & Conferences,Handles meeting rooms and special events
Finance & Accounting,Handles financial operations and budget management
Food & Beverage,Manages restaurants and catering operations
Front Office,Handles guest check-in and front desk operations
Guest Relations,Manages guest feedback and customer service excellence
Housekeeping,Responsible for room cleaning and ensuring guest room quality standards
Human Resources,Manages recruitment and staff development
IT Department,Manages technology infrastructure and digital guest services
Learning & Development,Manages staff training programs and career development initiatives
Procurement,Handles purchasing and supplier relationships
Quality Assurance,Ensures service standards and continuous improvement
Revenue Management,Optimizes room pricing and distribution channels
Risk Management,Manages insurance and risk assessment
Sales & Marketing,Handles promotions and corporate sales
Security,Ensures guest safety and emergency response procedures
Spa & Wellness,Manages spa services and wellness programs
Transportation,Handles valet parking and guest transportation
